source_report,title,severity,owner,due_date,evidence,affected_invariants
accessibility-audit.md,Incorrect document language,Medium,TBD,TBD,"– Root layout sets `<html lang=""en"">` (`src/app/layout.tsx:12-18`) even though the UI copy is Croatian (`Prijava`, `Novi E-Račun`, etc.). Screen readers will mispronounce labels. Set `lang=""hr""` (or make it dynamic per locale) to ensure proper pronunciation and spell checking.",None
accessibility-audit.md,Inputs lack ARIA metadata,Medium,TBD,TBD,"– `Input` component (`src/components/ui/input.tsx:8-22`) toggles border color for errors but never sets `aria-invalid`, nor links the helper text via `aria-describedby`. Keyboard/screen-reader users therefore do not know which fields are invalid. Add these attributes and ensure ids are unique so error text is announced.",None
accessibility-audit.md,Unlabeled select element,Medium,TBD,TBD,"– The buyer dropdown on the new invoice form (`src/app/(dashboard)/e-invoices/new/page.tsx:101-118`) renders `<label className=""text-sm font-medium"">` without `htmlFor`, and the `<select>` lacks an `id`, so assistive tech cannot map the label. Assign ids and connect labels to form controls.",None
accessibility-audit.md,Tables missing captions and scope,Medium,TBD,TBD,"– The invoices table (`src/app/(dashboard)/e-invoices/page.tsx:31-88`) lacks a `<caption>` describing the data and does not set `scope=""col""`/`scope=""row""`. This makes navigating rows/columns difficult for screen readers. Add a caption summarizing the table contents and scope attributes for headers.",None
accessibility-audit.md,Status indicators rely on color alone,Medium,TBD,TBD,"– Dashboard status chips (e.g., PDV obveznik) use green/yellow icons only (`src/app/(dashboard)/dashboard/page.tsx:62-83`). Users with color-vision deficiencies cannot distinguish states. Include text labels (e.g., “PDV: Da/Ne”) and consider adding icons with distinct shapes or patterns.",None
accessibility-audit.md,No focus management or announcements after actions,Medium,TBD,TBD,"– Forms such as login/register (`src/app/(auth)/login/page.tsx:37-85`) render inline error divs without `role=""alert""`/`aria-live`, so errors are not announced. Add live regions and move focus to the first invalid field on submit failure.",None
code-quality-architecture.md,Client pages import server actions directly,Medium,TBD,TBD,"– `src/app/(dashboard)/e-invoices/new/page.tsx:12-55` imports `getContacts` from the `""use server""` action module and calls it inside `useEffect`. This bypasses server-component data fetching patterns, couples the client bundle to server-only code, and makes error/loading states hard to manage. Replace with server-side data fetching (load contacts in the page’s async component and pass via props) or expose a typed API route/React Query hook.",None
code-quality-architecture.md,Money totals computed with floating-point math before persisting,Medium,TBD,TBD,"– `src/app/actions/e-invoice.ts:24-49` multiplies JS numbers to derive `netAmount`, `vatAmount`, and `totalAmount`, then wraps them with `new Decimal(...)`. Floating-point accumulation can yield rounding errors for currency (e.g., 0.1+0.2). Use Prisma `Decimal` (or a helper) for all arithmetic to ensure exact cents throughout.",None
code-quality-architecture.md,Redundant auth/company lookups,Medium,TBD,TBD,"– In `src/app/(dashboard)/e-invoices/page.tsx:7-20` the page already runs `requireAuth`/`requireCompany`, but it then calls `getEInvoices()` (`src/app/actions/e-invoice.ts:145-165`), which repeats the same checks, resulting in duplicate DB queries per request. Either accept a `companyId` parameter or move the query logic directly into the page component to avoid N+1 lookups and simplify tracing.",None
code-quality-architecture.md,Server actions return unstructured errors,Medium,TBD,TBD,"– Actions such as `register`, `login`, `createCompany`, and `createEInvoice` (`src/app/actions/*.ts`) return `{ error: string }` without error codes or field metadata (except one schema flatten). This makes client UX inconsistent and hampers logging/observability. Introduce a shared result type (`{ ok: boolean; message; code; details }`) and centralize logging so both UI and telemetry stay consistent.",None
